,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,FlowTerminationReason,FlowType,HostType,Predicted Probability,Predicted Type
14311,147.32.84.160-212.117.171.138-2888-65500-6,147.32.84.160,2888,212.117.171.138,65500,TCP,15/08/2011 06:39:23 PM,44833530,45,26,1794.0,1222.0,422.0,0.0,39.86666666666667,94.29706444866862,1023.0,0.0,46.99999999999999,199.38264718876616,67.2710803722125,1.58363617587105,640479.0,3774552.06977291,29977232.0,2.0,44833530.0,1018943.8636363636,4743937.987312761,29999712.0,2.0,14833796.0,593351.8400000001,2126966.3557747314,10704714.0,24435.0,0,0,0,0,916,528,1.0037130692140457,0.5799231066570042,0.0,1023.0,41.888888888888886,139.80364052117312,19545.0579029734,1,3,0,39,69,0,0,0,0.0,42.478873239436616,39.86666666666667,47.0,0,0,0,2860,32,1246,0,25,0,17,64240,7504,26,20,2160200.5,222778.9411602901,2317729.0,2002672.0,TCP_FIN,Virut,INFECTED,0.9688081,MALICIOUS
14315,147.32.84.160-212.117.171.138-2900-65500-6,147.32.84.160,2900,212.117.171.138,65500,TCP,15/08/2011 06:39:26 PM,50191470,49,26,1822.0,1596.0,422.0,0.0,37.18367346938776,90.7617470517792,1351.0,0.0,61.38461538461537,263.3561963460251,68.09922084370113,1.4942778125446414,678263.1081081082,3685867.774464852,29976048.0,4.0,50191470.0,1045655.625,4555392.736356859,29998902.0,4.0,20192829.0,807713.1599999999,2207440.5804408733,8500678.0,2333.0,0,0,0,0,996,528,0.9762615041958324,0.5180163083488091,0.0,1351.0,44.97368421052632,168.97021226115254,28550.93263157894,1,3,0,42,73,0,0,0,0.0,45.57333333333333,37.18367346938776,61.38461538461539,0,0,0,3262,35,1279,0,24,0,21,64240,7504,28,20,1473094.0,1229043.198851448,2571551.0,145668.0,TCP_FIN,Virut,INFECTED,0.98484993,MALICIOUS
14319,147.32.84.160-212.117.171.138-2968-65500-6,147.32.84.160,2968,212.117.171.138,65500,TCP,15/08/2011 06:40:05 PM,18891861,36,13,24859.0,179.0,1460.0,0.0,690.5277777777777,680.2469083716635,165.0,0.0,13.769230769230766,45.52500017600924,1325.3326392778351,2.593709534492129,393580.43750000006,1782521.568998612,11316833.0,3.0,18891861.0,539767.4571428573,2078735.28226744,11316833.0,3.0,18782980.0,1565248.3333333333,3490881.1073837746,11516900.0,50.0,0,0,0,0,736,268,1.9055825151370744,0.6881270193550546,0.0,1460.0,500.7600000000001,652.3253714244768,425528.3902040816,1,3,0,20,47,0,0,0,0.0,510.9795918367347,690.5277777777778,13.76923076923077,0,0,0,25020,23,38196,0,507,0,3,64240,23360,24,20,850867.5,920963.4489818256,1502087.0,199648.0,TCP_FIN,Virut,INFECTED,0.9204615,MALICIOUS
14324,147.32.84.160-212.117.171.138-2910-65500-6,147.32.84.160,2910,212.117.171.138,65500,TCP,15/08/2011 06:39:39 PM,49479976,47,26,1822.0,1244.0,422.0,0.0,38.76595744680853,92.3752302499825,1014.0,0.0,47.84615384615385,197.4440056943117,61.96446012827492,1.4753442887684505,687221.8888888889,3782426.306881564,29975818.0,5.0,49479976.0,1075651.6521739129,4709844.256745591,29998655.0,5.0,19481435.0,779257.4,2448430.207109581,11484861.0,4617.0,0,0,0,0,956,528,0.9498791996180436,0.525465089150407,0.0,1014.0,41.43243243243243,137.00565742554198,18770.550166604968,1,3,0,42,71,0,0,0,0.0,42.0,38.765957446808514,47.84615384615385,0,0,0,2910,35,1146,0,24,0,17,64240,7504,28,20,4134751.0,2225537.9836116037,5708444.0,2561058.0,TCP_FIN,Virut,INFECTED,0.9462994,MALICIOUS
14328,147.32.84.160-212.117.171.138-2976-65500-6,147.32.84.160,2976,212.117.171.138,65500,TCP,15/08/2011 06:40:19 PM,16244596,38,11,15377.0,1279.0,1460.0,0.0,404.6578947368421,643.8397600005845,421.0,0.0,116.27272727272728,176.55259324580365,1025.32559135358,3.016387726724629,338429.0833333335,1339339.0083774307,7074159.0,5.0,16244596.0,439043.1351351351,1535232.4800854204,7074159.0,5.0,15775591.0,1577559.1,2754035.3223361555,7274960.0,10444.0,0,0,0,0,776,228,2.3392394615415486,0.6771482651830799,0.0,1460.0,333.11999999999995,579.795799380775,336163.16897959186,1,3,0,16,47,0,0,0,0.0,339.9183673469388,404.6578947368421,116.27272727272728,0,0,0,16638,21,13797,0,313,0,26,64240,14600,19,20,898655.5,1238584.501382324,1774467.0,22844.0,TCP_FIN,Virut,INFECTED,0.978226,MALICIOUS
14333,147.32.84.160-212.117.171.138-2932-65500-6,147.32.84.160,2932,212.117.171.138,65500,TCP,15/08/2011 06:39:46 PM,52321062,43,27,1822.0,1296.0,422.0,0.0,42.37209302325584,95.861513021902,1052.0,0.0,48.00000000000001,201.05797097431304,59.593591582678506,1.3378933325168365,758276.2608695653,3813938.048144767,29976870.0,4.0,52321062.0,1245739.5714285716,4854969.520636989,29999117.0,4.0,22321842.0,858532.3846153847,2170560.739498364,8554318.0,7750.0,0,0,0,0,876,548,0.8218487614031994,0.5160445711136368,0.0,1052.0,43.91549295774647,143.4010108032589,20563.84989939638,1,3,0,42,68,0,0,0,0.0,44.54285714285714,42.372093023255815,48.0,0,0,0,2962,35,962,0,26,0,18,64240,7504,28,20,2334505.333333333,1873365.3119438116,3705333.0,199912.0,TCP_FIN,Virut,INFECTED,0.96586955,MALICIOUS
14337,147.32.84.160-212.117.171.138-3010-65500-6,147.32.84.160,3010,212.117.171.138,65500,TCP,15/08/2011 06:40:27 PM,18323184,31,10,8530.0,970.0,1460.0,0.0,275.1612903225806,550.757544767459,645.0,0.0,97.0,203.85670348447107,518.4688425330445,2.2376023730373498,458079.6,1605722.2711761254,8195153.0,5.0,18323184.0,610772.7999999999,1859099.9733730152,8343356.0,5.0,18135212.0,2015023.5555555555,3081362.724510014,8195406.0,10620.0,0,0,0,0,636,208,1.6918456966867763,0.5457566763505731,0.0,1460.0,226.19047619047615,488.063382434022,238205.8652729384,1,3,0,16,39,0,0,0,0.0,231.70731707317077,275.16129032258067,97.0,0,0,0,9482,15,12151,0,208,0,23,64240,11680,14,20,185450.5,230494.8903565977,348435.0,22466.0,TCP_FIN,Virut,INFECTED,0.98597413,MALICIOUS
14341,147.32.84.160-212.117.171.138-2948-65500-6,147.32.84.160,2948,212.117.171.138,65500,TCP,15/08/2011 06:39:57 PM,52552899,51,25,1794.0,1219.0,422.0,0.0,35.176470588235304,89.40463206844552,1003.0,0.0,48.76,199.1871565471362,57.33270775414312,1.446161894893753,700705.3200000001,3762198.780244409,29976003.0,5.0,52552899.0,1051057.98,4587695.391196162,29999343.0,5.0,22554212.0,939758.8333333336,2728591.6218111287,12513516.0,13893.0,0,0,0,0,1036,508,0.9704507452576498,0.4757111496361029,0.0,1003.0,39.129870129870135,133.5998887733297,17848.930280246066,1,3,0,39,74,0,0,0,0.0,39.64473684210526,35.1764705882353,48.76,0,0,0,2857,32,1214,0,23,0,16,64240,7504,26,20,1595774.0,1250148.331773874,2376195.0,153861.0,TCP_FIN,Virut,INFECTED,0.9694463,MALICIOUS
14349,147.32.84.160-212.117.171.138-3045-65500-6,147.32.84.160,3045,212.117.171.138,65500,TCP,15/08/2011 06:40:51 PM,17008869,33,12,11154.0,3562.0,1460.0,0.0,337.9999999999999,592.23860267632,1460.0,0.0,296.83333333333337,550.2511547769194,865.1956811472885,2.6456785574631683,386565.2045454546,1352994.6377006029,6477749.0,5.0,17008869.0,531527.15625,1583220.745616722,6586952.0,5.0,16817548.0,1528868.0,2507348.221939027,6478004.0,497.0,0,0,0,0,676,248,1.94016427547299,0.7055142819901782,0.0,1460.0,319.9130434782609,571.0411865312132,326088.03671497584,1,3,0,17,43,0,0,0,0.0,327.02222222222224,338.0,296.8333333333333,0,0,0,14698,19,17859,0,247,0,79,64240,14600,16,20,2269141.5,3177080.9724526224,4515677.0,22606.0,TCP_FIN,Virut,INFECTED,0.98669124,MALICIOUS
14359,147.32.84.160-212.117.171.138-3088-65500-6,147.32.84.160,3088,212.117.171.138,65500,TCP,15/08/2011 06:41:13 PM,19672991,31,10,7058.0,1066.0,1460.0,0.0,227.6774193548387,495.851683947043,741.0,0.0,106.6,232.74411318489288,412.9519502143828,2.08407557346008,491824.7750000001,1747387.4716762456,8374099.0,5.0,19672991.0,655766.3666666667,2015269.4890905807,8374099.0,5.0,19484617.0,2164957.4444444445,3362514.6118903747,8529002.0,11149.0,0,0,0,0,636,208,1.575764457982012,0.5083111154780684,0.0,1460.0,193.42857142857144,442.0783587344262,195433.27526132404,1,3,0,16,39,0,0,0,0.0,198.14634146341464,227.67741935483872,106.6,0,0,0,8106,15,10371,0,172,0,26,64240,11680,14,20,1731332.0,2416439.8439692226,3440013.0,22651.0,TCP_FIN,Virut,INFECTED,0.9885111,MALICIOUS
14361,147.32.84.160-212.117.171.138-3104-65500-6,147.32.84.160,3104,212.117.171.138,65500,TCP,15/08/2011 06:41:26 PM,18096170,26,12,8822.0,3002.0,1460.0,0.0,339.3076923076923,565.8797589050712,1448.0,0.0,250.16666666666669,493.32449828288543,653.3979289540273,2.099891855569438,489085.6756756756,1762886.8231580814,8412921.0,4.0,18062292.0,722491.6799999998,2133626.707821113,8412921.0,4.0,18073427.0,1643038.818181818,3083882.491381856,8613118.0,10461.0,0,0,0,0,536,248,1.436768111705405,0.663123743864033,0.0,1460.0,303.1794871794872,534.1529384674527,285319.3616734143,1,3,0,17,36,0,0,0,0.0,311.1578947368421,339.3076923076923,250.16666666666663,0,0,0,11806,16,18496,0,232,0,79,64240,17520,14,20,167069.0,203737.2626497176,311133.0,23005.0,TCP_FIN,Virut,INFECTED,0.98744917,MALICIOUS
14375,147.32.84.160-212.117.171.138-3169-65500-6,147.32.84.160,3169,212.117.171.138,65500,TCP,15/08/2011 06:42:04 PM,21203932,102,32,108436.0,4362.0,1460.0,0.0,1063.0980392156862,590.5194308521433,1460.0,0.0,136.3125,391.641083012528,5319.673728438669,6.319582613262484,159428.06015037603,1066102.845874856,10062951.0,6.0,21168843.0,209592.5049504951,1224248.4942496407,10062951.0,6.0,21181640.0,683278.7096774192,2204939.353986064,10262850.0,12.0,0,0,0,0,2056,648,4.810428556363981,1.5091540568985036,0.0,1460.0,835.5407407407405,678.0143722661397,459703.4889994474,1,3,0,31,132,0,0,0,0.0,841.776119402985,1063.0980392156862,136.3125,0,0,0,112780,91,84270,0,809,0,32,64240,62780,88,20,1478798.0,1808916.3249907384,2757895.0,199701.0,TCP_FIN,Virut,INFECTED,0.9134547,MALICIOUS
14379,147.32.84.160-212.117.171.138-3185-65500-6,147.32.84.160,3185,212.117.171.138,65500,TCP,15/08/2011 06:42:15 PM,20023451,30,11,11186.0,2506.0,1460.0,0.0,372.8666666666666,518.8826013878173,2181.0,0.0,227.8181818181818,650.993981259707,683.7982124060433,2.047599087689729,500586.27500000014,1998896.9543362835,10779225.0,7.0,19989409.0,689289.9655172414,2358203.5186600583,10946884.0,7.0,20000880.0,2000087.9999999995,3788041.8171541695,10779459.0,10578.0,0,0,0,0,616,228,1.498243234894924,0.5493558527948054,0.0,2181.0,326.0,548.2583065779371,300587.1707317073,1,3,0,24,39,0,0,0,0.0,333.9512195121951,372.8666666666667,227.8181818181818,0,0,0,13674,19,23924,0,272,0,61,64240,21900,18,20,846868.0,1165401.07084986,1670931.0,22805.0,TCP_FIN,Virut,INFECTED,0.997141,MALICIOUS
14383,147.32.84.160-212.117.171.138-3221-65500-6,147.32.84.160,3221,212.117.171.138,65500,TCP,15/08/2011 06:42:31 PM,15023239,32,14,13970.0,2650.0,1460.0,0.0,436.5625,628.5847871826196,1448.0,0.0,189.2857142857143,431.126329615708,1106.286067871249,3.06192293153294,333849.7555555555,1201270.7316298278,5908231.0,6.0,14988070.0,483486.1290322581,1446852.8157412957,5908231.0,6.0,15000635.0,1153895.0000000002,2136405.9536434477,6109859.0,11032.0,0,0,0,0,656,288,2.130033343675089,0.9318895878578514,0.0,1460.0,353.6170212765957,578.383487691698,334527.45883441257,1,3,0,19,44,0,0,0,0.0,361.3043478260869,436.5625,189.28571428571428,0,0,0,16602,22,26387,0,303,0,57,64240,23360,20,20,186009.0,230716.2147791091,349150.0,22868.0,TCP_FIN,Virut,INFECTED,0.9854175,MALICIOUS
14434,147.32.84.160-212.117.171.138-3442-65500-6,147.32.84.160,3442,212.117.171.138,65500,TCP,15/08/2011 06:44:41 PM,20886800,152,46,174532.0,6831.0,1460.0,0.0,1148.236842105263,529.2924395650198,1460.0,0.0,148.50000000000006,421.3435520912702,8683.1395905548,9.479671371392458,106024.36548223348,913153.590862194,10315248.0,9.0,20817793.0,137866.17880794697,1042269.5822131884,10315248.0,9.0,20864235.0,463649.6666666666,1926915.0601073347,10516385.0,12.0,0,0,0,0,3056,928,7.2773234770285535,2.2023478943639043,0.0,1460.0,911.371859296482,660.6582747319359,436469.3559717781,1,3,0,39,196,0,0,0,0.0,915.9747474747476,1148.2368421052631,148.5,0,0,0,181345,141,109739,0,881,0,34,64240,62780,136,20,600769.0,567864.728048855,1002310.0,199228.0,TCP_FIN,Virut,INFECTED,0.93470865,MALICIOUS
14438,147.32.84.160-212.117.171.138-3458-65500-6,147.32.84.160,3458,212.117.171.138,65500,TCP,15/08/2011 06:44:53 PM,20481940,150,45,174500.0,6863.0,1460.0,0.0,1163.3333333333333,515.9922566749873,2920.0,0.0,152.51111111111112,527.9506529205091,8854.77645184001,9.520582522944602,105577.01030927851,933748.3920335406,9998280.0,6.0,20413070.0,137000.46979865775,1071191.187962914,10106183.0,6.0,20459244.0,464982.81818181806,1955958.2979950488,9998498.0,243.0,0,0,0,0,3016,908,7.323525017649695,2.1970575052949086,0.0,2920.0,925.3214285714286,672.402644749905,452125.3166666669,1,3,0,37,193,0,0,0,0.0,930.0666666666668,1163.3333333333333,152.51111111111112,0,0,0,90681,72,98541,0,894,0,35,64240,62780,136,20,216474.5,273735.88423971744,410035.0,22914.0,TCP_FIN,Virut,INFECTED,0.9633669,MALICIOUS
14444,147.32.84.160-212.117.171.138-3493-65500-6,147.32.84.160,3493,212.117.171.138,65500,TCP,15/08/2011 06:45:04 PM,18513322,150,46,174532.0,6895.0,1460.0,0.0,1163.5466666666673,518.0291845665065,1460.0,0.0,149.89130434782604,423.2322833864202,9799.8079437067,10.586970831058846,94940.11282051283,837565.0975753153,9065304.0,4.0,18434606.0,123722.187919463,965254.7632263836,9192443.0,4.0,18490932.0,410909.6,1738865.8302761393,9065534.0,267.0,0,0,0,0,3016,928,8.102273595198096,2.4846972358607493,0.0,1460.0,920.94923857868,658.8100028529556,434030.61985911126,1,3,0,43,194,0,0,0,0.0,925.6479591836736,1163.5466666666666,149.8913043478261,0,0,0,90713,73,103374,0,890,0,35,64240,62780,136,20,175028.0,215537.46061415868,327436.0,22620.0,TCP_FIN,Virut,INFECTED,0.9376151,MALICIOUS
14463,147.32.84.160-212.117.171.138-3550-65500-6,147.32.84.160,3550,212.117.171.138,65500,TCP,15/08/2011 06:45:47 PM,36612917,87,55,2406.0,4297.0,422.0,0.0,27.655172413793107,69.22390828860357,1460.0,0.0,78.12727272727274,281.5431060046055,183.07746416380863,3.8784126378130415,259666.0780141845,1810463.4976870583,20212701.0,5.0,36612917.0,425731.5930232555,2322816.920697552,20339052.0,5.0,36470990.0,675388.7037037035,2906430.0388186118,20212701.0,11.0,0,0,0,0,1756,1108,2.376210559786864,1.5022020780261784,0.0,1460.0,46.87412587412586,183.4826187083358,33665.87136806854,1,3,0,88,140,0,0,0,0.0,47.20422535211268,27.655172413793103,78.12727272727273,0,0,0,2234,29,869,0,16,0,30,64240,7504,56,20,2627639.5,600424.8740021519,3052204.0,2203075.0,TCP_FIN,Virut,INFECTED,0.9935802,MALICIOUS
14468,147.32.84.160-212.117.171.138-3571-65500-6,147.32.84.160,3571,212.117.171.138,65500,TCP,15/08/2011 06:45:55 PM,78608889,51,28,1850.0,1288.0,422.0,0.0,36.27450980392157,89.04405166688511,1033.0,0.0,46.0,193.84033139177737,39.91914960151644,1.0049754042446777,1007806.2692307692,5480039.021729954,38159053.0,4.0,78608889.0,1572177.7799999996,6825488.38640409,38332003.0,4.0,48608991.0,1800332.9999999998,7360467.731534897,38159334.0,5651.0,0,0,0,0,1036,568,0.6487815900820071,0.3561938141626705,0.0,1033.0,39.225,133.79608279823407,17901.391772151903,1,3,0,45,77,0,0,0,0.0,39.721518987341774,36.27450980392157,46.0,0,0,0,2982,38,1094,0,23,0,16,64240,7504,30,20,1520856.6666666667,2298192.5306399665,4166844.0,22500.0,TCP_FIN,Virut,INFECTED,0.9399026,MALICIOUS
14472,147.32.84.160-212.117.171.138-3641-65500-6,147.32.84.160,3641,212.117.171.138,65500,TCP,15/08/2011 06:46:40 PM,44631376,41,25,1794.0,1569.0,422.0,0.0,43.75609756097563,98.01371855199784,1368.0,0.0,62.76,272.1839574013624,75.35057848093233,1.4787803091708398,686636.5538461538,3878504.8844914697,29937727.0,8.0,44631376.0,1115784.4,4929875.786436736,29999931.0,8.0,14671171.0,611298.7916666666,2002984.2830245115,9910691.0,13373.0,0,0,0,0,836,508,0.9186362526667338,0.5601440565041059,0.0,1368.0,50.19402985074626,181.34399245682476,32885.643600180905,1,3,0,39,64,0,0,0,0.0,50.95454545454545,43.75609756097561,62.76,0,0,0,3207,32,1370,0,27,0,23,64240,7504,26,20,2480365.5,109388.71194277772,2557715.0,2403016.0,TCP_FIN,Virut,INFECTED,0.98131436,MALICIOUS
14477,147.32.84.160-212.117.171.138-3668-65500-6,147.32.84.160,3668,212.117.171.138,65500,TCP,15/08/2011 06:47:00 PM,195981943,15,5,24.0,28.0,10.0,0.0,1.6,3.480558247506528,23.0,0.0,5.6,9.864076236526156,0.2653305667043009,0.1020502179631926,10314839.10526316,37903896.77404137,164991320.0,8.0,195981943.0,13998710.214285716,44010037.38966879,165114771.0,8.0,170667107.0,42666776.75,81589971.3120311,164991585.0,21581.0,0,0,0,0,316,108,0.0765376634723944,0.0255125544907981,0.0,23.0,2.476190476190476,5.591234636634807,31.26190476190476,1,3,0,7,18,0,0,0,0.0,2.6,1.6,5.6,0,0,0,0,0,0,0,1,0,1,64240,5840,4,20,182081.0,151410.8148019817,323818.0,22566.0,TCP_FIN,Virut,INFECTED,0.9949759,MALICIOUS
14483,147.32.84.160-212.117.171.138-3930-65500-6,147.32.84.160,3930,212.117.171.138,65500,TCP,15/08/2011 06:49:54 PM,83887239,79,45,2164.0,4070.0,422.0,0.0,27.39240506329113,72.44368594905357,1380.0,0.0,90.44444444444444,302.60269147661074,74.31404435661544,1.4781747674398964,682010.0731707314,5538804.15404817,60148220.0,2.0,83887239.0,1075477.4230769223,6957998.814730789,60263524.0,2.0,83745590.0,1903308.863636364,9204514.861225344,60148465.0,5567.0,0,0,0,0,1596,908,0.9417403760302566,0.5364343914096398,0.0,1380.0,49.87199999999999,191.6575396798389,36732.61251612902,1,3,0,72,122,0,0,0,0.0,50.274193548387096,27.39240506329114,90.44444444444444,0,0,0,2078,24,874,0,17,0,32,64240,7504,46,20,3942753.0,5543835.958441772,7862837.0,22669.0,TCP_FIN,Virut,INFECTED,0.9360952,MALICIOUS
14487,147.32.84.160-212.117.171.138-4021-65500-6,147.32.84.160,4021,212.117.171.138,65500,TCP,15/08/2011 06:50:55 PM,42743630,45,25,1794.0,1485.0,422.0,0.0,39.866666666666674,94.29706444866862,1285.0,0.0,59.400000000000006,255.5826676439543,76.7131850991598,1.6376709231293645,619472.8985507246,3661339.538798191,29976344.0,4.0,42743630.0,971446.1363636364,4574821.104792499,29998724.0,4.0,12744617.0,531025.7083333331,1229299.9877251626,5411394.0,12861.0,0,0,0,0,916,508,1.0527884505831628,0.5848824725462016,0.0,1285.0,46.18309859154928,167.6425031223249,28104.00885311872,1,3,0,39,68,0,0,0,0.0,46.84285714285714,39.86666666666667,59.4,0,0,0,3123,32,1294,0,25,0,21,64240,7504,26,20,3677984.5,5169287.860408288,7333223.0,22746.0,TCP_FIN,Virut,INFECTED,0.9677721,MALICIOUS
14495,147.32.84.160-212.117.171.138-4040-65500-6,147.32.84.160,4040,212.117.171.138,65500,TCP,15/08/2011 06:51:05 PM,45660851,47,29,1850.0,1263.0,422.0,0.0,39.361702127659576,92.16370726142812,994.0,0.0,43.55172413793103,183.23376681303205,68.17656552218004,1.6644455443898756,608811.3466666667,3542987.445611689,29938002.0,6.0,45660851.0,992627.195652174,4511104.021141376,29999834.0,6.0,15700241.0,560722.8928571428,1446309.4607561314,7220115.0,6053.0,0,0,0,0,956,588,1.0293281656095283,0.6351173787803472,0.0,994.0,40.428571428571445,132.42628819275754,17536.72180451128,1,3,0,45,74,0,0,0,0.0,40.96052631578947,39.361702127659576,43.55172413793103,0,0,0,2881,36,1248,0,24,0,16,64240,7504,30,20,4351421.0,3528641.029029731,6846547.0,1856295.0,TCP_FIN,Virut,INFECTED,0.9459642,MALICIOUS
14500,147.32.84.160-212.117.171.138-4085-65500-6,147.32.84.160,4085,212.117.171.138,65500,TCP,15/08/2011 06:51:33 PM,32547876,71,46,2164.0,3731.0,422.0,0.0,30.478873239436638,75.84492810143787,1224.0,0.0,81.10869565217389,271.8839808333997,181.1178093464532,3.5947046129830404,280585.13793103443,1630822.083537859,16181582.0,5.0,32547876.0,464969.657142857,2115714.328722036,16369135.0,5.0,32406286.0,720139.6888888886,2583785.695637093,16181582.0,15645.0,0,0,0,0,1436,928,2.181401944630734,1.4133026683523064,0.0,1224.0,49.95762711864408,180.2937960387096,32505.852890047805,1,3,0,72,115,0,0,0,0.0,50.38461538461539,30.47887323943662,81.1086956521739,0,0,0,2933,33,1145,0,18,0,31,64240,7504,46,20,3442374.5,4836107.630394561,6862019.0,22730.0,TCP_FIN,Virut,INFECTED,0.987414,MALICIOUS
14504,147.32.84.160-212.117.171.138-4076-65500-6,147.32.84.160,4076,212.117.171.138,65500,TCP,15/08/2011 06:51:25 PM,40733065,79,54,2354.0,4304.0,422.0,0.0,29.79746835443039,72.34592465385609,1375.0,0.0,79.70370370370371,289.6992343813116,163.45443192158507,3.265160625648966,308583.8257575757,2220742.522452517,24373576.0,6.0,40733065.0,522218.782051282,2894697.045758651,24523871.0,6.0,40592150.0,765889.6226415093,3487172.762658169,24373576.0,8166.0,0,0,0,0,1596,1088,1.9394563114757013,1.3257043141732645,0.0,1375.0,49.68656716417912,192.6990882573,37132.9386151947,1,3,0,81,131,0,0,0,0.0,50.06015037593985,29.79746835443038,79.70370370370371,0,0,0,3315,38,1104,0,17,0,32,64240,7504,52,20,2689552.5,121709.34049817213,2775614.0,2603491.0,TCP_FIN,Virut,INFECTED,0.9898567,MALICIOUS
14510,147.32.84.160-212.117.171.138-4107-65500-6,147.32.84.160,4107,212.117.171.138,65500,TCP,15/08/2011 06:51:43 PM,23816920,87,55,2276.0,4733.0,422.0,0.0,26.160919540229894,69.10169007511783,1479.0,0.0,86.05454545454543,314.90788883605063,294.2865828159141,5.962147918370637,168914.3262411347,699733.4849986763,5209990.0,4.0,23816920.0,276940.93023255805,895842.008802508,5254216.0,4.0,23675693.0,438438.75925925927,1128176.601672838,5410430.0,4608.0,0,0,0,0,1756,1108,3.652865273931306,2.3092826444393317,0.0,1479.0,49.01398601398603,203.64581881620785,41471.619521323744,1,3,0,84,140,0,0,0,0.0,49.35915492957746,26.160919540229884,86.05454545454545,0,0,0,3452,38,1066,0,16,0,33,64240,7504,54,20,4567848.5,6428280.170602437,9113329.0,22368.0,TCP_FIN,Virut,INFECTED,0.9920684,MALICIOUS
14515,147.32.84.160-212.117.171.138-4121-65500-6,147.32.84.160,4121,212.117.171.138,65500,TCP,15/08/2011 06:51:48 PM,55084905,49,27,1822.0,1254.0,422.0,0.0,37.18367346938776,90.7617470517792,1013.0,0.0,46.44444444444445,193.5818915031794,55.841069345585694,1.3796883193317662,734465.3999999997,4064202.925467695,29976315.0,5.0,55084905.0,1147602.1875,5070521.861957803,29998699.0,5.0,25085591.0,964830.423076923,3695180.6407823176,18969736.0,5689.0,0,0,0,0,996,548,0.8895358900954808,0.4901524292362853,0.0,1013.0,39.94805194805196,134.40129386359266,18063.70779220779,1,3,0,42,74,0,0,0,0.0,40.47368421052632,37.18367346938776,46.44444444444444,0,0,0,2920,35,1067,0,23,0,16,64240,7504,28,20,3069232.0,4308575.566037806,6115855.0,22609.0,TCP_FIN,Virut,INFECTED,0.94894636,MALICIOUS
14520,147.32.84.160-212.117.171.138-4155-65500-6,147.32.84.160,4155,212.117.171.138,65500,TCP,15/08/2011 06:52:09 PM,50510231,53,30,1850.0,1597.0,422.0,0.0,34.905660377358494,87.59330501087736,1332.0,0.0,53.23333333333333,241.8568518392836,68.24359999462287,1.6432314475061498,615978.4268292682,3531062.4479297977,29977888.0,5.0,50510231.0,971350.5961538462,4413944.884810768,30000231.0,5.0,20509587.0,707227.1379310344,2198581.0568504296,8713799.0,6599.0,0,0,0,0,1076,608,1.0492923700942884,0.5939390774118614,0.0,1332.0,41.03571428571427,159.1945423800076,25342.902323580038,1,3,0,45,81,0,0,0,0.0,41.53012048192771,34.905660377358494,53.23333333333333,0,0,0,3291,38,1148,0,22,0,19,64240,7504,30,20,1229520.0,1449707.590979643,2887468.0,200400.0,TCP_FIN,Virut,INFECTED,0.98567396,MALICIOUS
14525,147.32.84.160-212.117.171.138-4159-65500-6,147.32.84.160,4159,212.117.171.138,65500,TCP,15/08/2011 06:52:19 PM,45753366,85,56,2276.0,4322.0,422.0,0.0,26.7764705882353,69.80011878666863,1384.0,0.0,77.17857142857144,280.1826746407265,144.2079693109355,3.081740477848121,326809.7571428569,1923963.0460308709,17878669.0,5.0,45753366.0,544682.9285714284,2480396.264026073,18025360.0,5.0,45612463.0,829317.5090909092,3042359.2898340505,17878669.0,447.0,0,0,0,0,1716,1128,1.8577868128871653,1.223953664960956,0.0,1384.0,46.464788732394375,184.79076386807847,34147.62641094793,1,3,0,84,139,0,0,0,0.0,46.79432624113476,26.77647058823529,77.17857142857143,0,0,0,3285,39,1112,0,16,0,30,64240,7504,54,20,1277997.0,1068910.2106730014,2279986.0,152837.0,TCP_FIN,Virut,INFECTED,0.99274147,MALICIOUS
