,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Fwd Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min
10727,3909,10,5,2340,420,848.0,0.0,234.0,333.5092868938501,388.0,0.0,83.99999999999999,170.5051318875769,279.21428571428567,468.6719663985804,1805.0,7.0,1606.0,178.44444444444446,281.20993541796804,817.0,7.0,3608.0,902.0,682.4148298505829,1805.0,176.0,0,0,0,0,216,108,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,234.0,84.0,0,0,0,2760,8,899608,0,156,0,28,64240,63190,6,20
10729,13432,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,959.4285714285714,2204.267913155529,8025.0,6.0,13432.0,1343.2,3587.9327009667654,11506.0,6.0,12865.0,4288.333333333333,3684.187879754958,8378.0,1229.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,220658,0,156,0,28,64240,63190,6,20
10733,3935,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,281.0714285714286,452.1076223619794,1639.0,8.0,3935.0,393.5,684.4576522895903,2079.0,8.0,3532.0,1177.3333333333333,494.7972648806109,1639.0,655.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,868197,0,156,0,28,64240,63190,6,20
10737,6897,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,492.6428571428571,1106.378194285846,4230.0,6.0,6897.0,689.6999999999999,1487.2813415386104,4767.0,6.0,6401.0,2133.666666666667,1836.2625992306585,4230.0,810.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,458471,0,156,0,28,64240,63190,6,20
10743,15124,11,4,2300,420,848.0,0.0,209.0909090909091,324.39896872384,388.0,0.0,105.0,189.26876833399288,1080.2857142857142,3280.918033547492,12447.0,6.0,15124.0,1512.4,4084.584385222076,13090.0,6.0,14536.0,4845.333333333334,6587.627974721503,12447.0,804.0,0,0,0,0,236,88,0.0,848.0,170.0,285.4731744548572,81494.93333333332,1,3,0,8,13,0,0,0,0.0,181.33333333333331,209.0909090909091,105.0,0,0,0,2720,8,191981,0,153,0,28,64240,63210,6,20
10745,17060,11,4,2300,420,848.0,0.0,209.0909090909091,324.39896872384,388.0,0.0,105.0,189.26876833399288,1218.571428571429,3824.173771282763,14480.0,6.0,17060.0,1706.0,4712.568844177357,15079.0,6.0,16489.0,5496.333333333333,7784.019291685583,14480.0,757.0,0,0,0,0,236,88,0.0,848.0,170.0,285.4731744548572,81494.93333333332,1,3,0,8,13,0,0,0,0.0,181.33333333333331,209.0909090909091,105.0,0,0,0,2720,8,168724,0,153,0,28,64240,63210,6,20
10747,4855,11,4,2300,420,848.0,0.0,209.0909090909091,324.39896872384,388.0,0.0,105.0,189.26876833399288,346.78571428571433,564.5530810461328,1936.0,6.0,4855.0,485.5,839.399553914053,2443.0,6.0,4312.0,1437.3333333333333,652.3973737940194,1936.0,699.0,0,0,0,0,236,88,0.0,848.0,170.0,285.4731744548572,81494.93333333332,1,3,0,8,13,0,0,0,0.0,181.33333333333331,209.0909090909091,105.0,0,0,0,2720,8,691584,0,153,0,28,64240,63210,6,20
10846,2390,10,5,2340,310,848.0,0.0,234.0,333.5092868938501,278.0,0.0,62.0,121.54011683390796,170.71428571428572,193.7279728705369,656.0,7.0,1618.0,179.77777777777777,305.04621689908635,925.0,7.0,2183.0,545.75,413.23227931354376,1034.0,47.0,0,0,0,0,216,108,0.0,848.0,165.625,281.42704797750577,79201.18333333333,1,3,0,8,13,0,0,0,0.0,176.66666666666666,234.0,62.0,0,0,0,2650,8,1501416,0,156,0,20,64240,63190,6,20
10888,2686,10,5,2340,268,848.0,0.0,234.0,333.5092868938501,236.0,0.0,53.6,102.9018950262822,191.85714285714283,234.485970432498,777.0,6.0,1581.0,175.66666666666666,286.6513561802909,858.0,6.0,2459.0,614.75,388.5017159979262,991.0,81.0,0,0,0,0,216,108,0.0,848.0,163.0,280.5033570803268,78682.13333333333,1,3,0,8,13,0,0,0,0.0,173.86666666666667,234.0,53.6,0,0,0,2608,8,1304000,0,156,0,17,64240,63190,6,20
10890,2159,10,5,2304,268,848.0,0.0,230.4,333.9791077963477,236.0,0.0,53.6,102.9018950262822,154.2142857142857,146.43096486920882,569.0,7.0,1626.0,180.66666666666663,263.74988151656106,812.0,7.0,1958.0,489.5,387.3917052975365,940.0,121.0,0,0,0,0,216,108,0.0,848.0,160.75,280.23692357241816,78532.73333333334,1,3,0,8,13,0,0,0,0.0,171.46666666666667,230.4,53.6,0,0,0,2572,8,1744911,0,153,0,17,64240,63208,6,20
10897,5953,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,425.2142857142857,664.7718149365735,2560.0,8.0,5953.0,595.3,754.8712988170751,2560.0,8.0,5621.0,1873.6666666666663,1964.216468043513,3954.0,51.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,496572,0,156,0,17,64240,63190,6,20
10899,6034,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,431.0,668.2696369672257,2581.0,8.0,6034.0,603.4,761.0087165510436,2581.0,8.0,5706.0,1902.0,2008.5091485975363,4037.0,50.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,489857,0,156,0,17,64240,63190,6,20
10901,5994,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,428.1428571428571,664.7188945646187,2560.0,7.0,5994.0,599.4,754.8989925075334,2560.0,7.0,5657.0,1885.6666666666663,1987.133697900907,4006.0,66.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,495817,0,156,0,17,64240,63190,6,20
10903,5979,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,427.07142857142856,673.4325920565146,2596.0,8.0,5979.0,597.9,765.0425478363932,2596.0,8.0,5642.0,1880.6666666666663,1986.746670648609,3994.0,51.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,490225,0,156,0,17,64240,63190,6,20
10905,6061,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,432.9285714285714,661.019779092614,2562.0,8.0,6061.0,606.1,751.9875072839383,2562.0,8.0,5724.0,1908.0,1996.7496087391628,4020.0,51.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,487021,0,156,0,17,64240,63190,6,20
10907,6144,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,438.8571428571429,651.3022289280096,2529.0,50.0,6144.0,614.4,733.3047267147691,2529.0,85.0,5689.0,1896.3333333333333,1974.546108181152,3978.0,50.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,489214,0,156,0,17,64240,63190,6,20
10909,5953,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,425.2142857142858,665.8306759311928,2562.0,7.0,5953.0,595.3,755.763344793417,2562.0,7.0,5606.0,1868.6666666666663,1970.655305560395,3965.0,54.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,495817,0,156,0,17,64240,63190,6,20
10911,5814,11,4,2300,268,848.0,0.0,209.0909090909091,324.39896872384,236.0,0.0,67.0,113.67204288361027,415.2857142857143,614.9380742520625,2369.0,8.0,5814.0,581.4,698.8975763459351,2369.0,8.0,5467.0,1822.3333333333333,1878.5287683006968,3793.0,52.0,0,0,0,0,236,88,0.0,848.0,160.5,280.21563125564575,78520.80000000002,1,3,0,8,13,0,0,0,0.0,171.2,209.0909090909091,67.0,0,0,0,2568,8,500097,0,153,0,17,64240,63210,6,20
10913,5812,11,4,2300,268,848.0,0.0,209.0909090909091,324.39896872384,236.0,0.0,67.0,113.67204288361027,415.1428571428571,621.8359735669673,2400.0,9.0,5812.0,581.2,707.1229344636224,2400.0,9.0,5518.0,1839.3333333333333,1861.9469201170405,3778.0,65.0,0,0,0,0,236,88,0.0,848.0,160.5,280.21563125564575,78520.80000000002,1,3,0,8,13,0,0,0,0.0,171.2,209.0909090909091,67.0,0,0,0,2568,8,501758,0,153,0,17,64240,63210,6,20
10917,25925,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,1851.7857142857144,5992.838998191239,22637.0,9.0,25925.0,2592.5,7337.414156226975,23430.0,9.0,25363.0,8454.333333333332,12288.771555095867,22637.0,972.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,110630,0,156,0,28,64240,63190,6,20
10919,16887,11,4,2304,420,848.0,0.0,209.45454545454544,324.3665715317667,388.0,0.0,105.0,189.26876833399288,1206.2142857142858,3366.509266711907,12691.0,9.0,16887.0,1688.6999999999998,4143.692369802029,13240.0,9.0,16330.0,5443.333333333334,6367.970974598843,12691.0,745.0,0,0,0,0,236,88,0.0,848.0,170.25,285.48520101749585,81501.8,1,3,0,8,13,0,0,0,0.0,181.6,209.45454545454547,105.0,0,0,0,2724,8,170987,0,153,0,28,64240,63208,6,20
10921,15081,11,4,2300,420,848.0,0.0,209.0909090909091,324.39896872384,388.0,0.0,105.0,189.26876833399288,1077.214285714286,2816.6325824281034,10682.0,8.0,15081.0,1508.1000000000004,3370.8804471367544,10809.0,8.0,4228.0,1409.3333333333333,571.7213773625517,1934.0,800.0,0,0,0,0,236,88,0.0,848.0,170.0,285.4731744548572,81494.93333333332,1,3,0,8,13,0,0,0,0.0,181.33333333333331,209.0909090909091,105.0,0,0,0,2720,8,711483,0,153,0,28,64240,63210,6,20
10923,15551,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,1110.7857142857142,3001.172339617955,11320.0,9.0,15551.0,1555.1,3649.944244627429,11583.0,9.0,15041.0,5013.666666666667,5833.192036383967,11701.0,973.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,188151,0,156,0,28,64240,63190,6,20
10925,5900,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,421.4285714285714,848.9764619628938,3222.0,8.0,5900.0,590.0,1179.909224380324,3762.0,8.0,5407.0,1802.3333333333333,1270.807748376336,3222.0,771.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,549035,0,156,0,28,64240,63190,6,20
10927,4714,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,336.7142857142857,548.2626305776384,1985.0,8.0,4714.0,471.4,822.6017262320812,2519.0,8.0,4144.0,1381.3333333333333,626.6421094479155,1985.0,734.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,731319,0,156,0,28,64240,63190,6,20
10931,21292,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,1520.857142857143,3539.858055762272,12013.0,9.0,21292.0,2129.2,6028.191341061135,19256.0,9.0,20733.0,6911.0,5644.13793240385,12475.0,1190.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,135599,0,156,0,28,64240,63190,6,20
10933,4795,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,342.5,549.9188401657382,1882.0,9.0,4795.0,479.5,821.4377977397653,2408.0,9.0,4280.0,1426.6666666666667,601.3421100615966,1882.0,745.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,707148,0,156,0,28,64240,63190,6,20
10937,4165,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,297.5,460.88005280867065,1703.0,9.0,4165.0,416.5,714.7588948574041,2213.0,9.0,3656.0,1218.6666666666667,490.09828946175,1703.0,723.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,845329,0,156,0,28,64240,63190,6,20
10939,23705,11,4,2300,420,848.0,0.0,209.0909090909091,324.39896872384,388.0,0.0,105.0,189.26876833399288,1693.2142857142858,5525.74024527409,20870.0,9.0,23705.0,2370.5,6855.857645514203,21862.0,9.0,23210.0,7736.666666666667,11373.800346996308,20870.0,1169.0,0,0,0,0,236,88,0.0,848.0,170.0,285.4731744548572,81494.93333333332,1,3,0,8,13,0,0,0,0.0,181.33333333333331,209.0909090909091,105.0,0,0,0,2720,8,119157,0,153,0,28,64240,63210,6,20
10941,38203,11,4,2300,420,848.0,0.0,209.0909090909091,324.39896872384,388.0,0.0,105.0,189.26876833399288,2728.7857142857147,6178.077136487987,19827.0,9.0,38203.0,3820.3000000000006,7248.319269550241,20115.0,9.0,23898.0,7966.0,10684.504714772698,20247.0,805.0,0,0,0,0,236,88,0.0,848.0,170.0,285.4731744548572,81494.93333333332,1,3,0,8,13,0,0,0,0.0,181.33333333333331,209.0909090909091,105.0,0,0,0,2720,8,115803,0,153,0,28,64240,63210,6,20
10943,17136,11,4,2300,420,848.0,0.0,209.0909090909091,324.39896872384,388.0,0.0,105.0,189.26876833399288,1223.9999999999998,2780.6988883538447,9682.0,9.0,17136.0,1713.6,4704.686698743428,15066.0,9.0,16507.0,5502.333333333333,4427.092311363445,10088.0,1253.0,0,0,0,0,236,88,0.0,848.0,170.0,285.4731744548572,81494.93333333332,1,3,0,8,13,0,0,0,0.0,181.33333333333331,209.0909090909091,105.0,0,0,0,2720,8,169049,0,153,0,28,64240,63210,6,20
11065,98860,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,7061.428571428572,25486.20384779633,95601.0,7.0,98860.0,9886.0,30346.05479391935,96239.0,7.0,98206.0,32735.33333333333,54445.88803879805,95601.0,768.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,28211,0,156,0,28,64240,63190,6,20
11067,18028,11,4,2304,420,848.0,0.0,209.45454545454544,324.3665715317667,388.0,0.0,105.0,189.26876833399288,1287.7142857142856,3699.796469008521,14037.0,6.0,18028.0,1802.8,4482.386561742404,14320.0,6.0,17425.0,5808.333333333333,7480.698118045757,14441.0,1230.0,0,0,0,0,236,88,0.0,848.0,170.25,285.48520101749585,81501.8,1,3,0,8,13,0,0,0,0.0,181.6,209.45454545454547,105.0,0,0,0,2724,8,159962,0,153,0,28,64240,63208,6,20
11069,4652,11,4,2300,420,848.0,0.0,209.0909090909091,324.39896872384,388.0,0.0,105.0,189.26876833399288,332.2857142857143,554.7985675445193,2048.0,6.0,4652.0,465.19999999999993,843.1699182911539,2606.0,6.0,4066.0,1355.3333333333333,681.7744006145532,2048.0,685.0,0,0,0,0,236,88,0.0,848.0,170.0,285.4731744548572,81494.93333333332,1,3,0,8,13,0,0,0,0.0,181.33333333333331,209.0909090909091,105.0,0,0,0,2720,8,733944,0,153,0,28,64240,63210,6,20
11071,41828,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,2987.7142857142853,7236.611621348887,20861.0,6.0,41828.0,4182.8,8619.726726784582,21504.0,6.0,41264.0,13754.666666666666,11233.342616217727,20861.0,804.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,67465,0,156,0,28,64240,63190,6,20
11073,4508,10,5,2340,420,848.0,0.0,234.0,333.5092868938501,388.0,0.0,83.99999999999999,170.5051318875769,322.00000000000006,555.4391194222959,2070.0,3.0,1893.0,210.33333333333331,367.31219691156457,1099.0,3.0,4129.0,1032.25,807.3195876892041,2070.0,163.0,0,0,0,0,216,108,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,234.0,84.0,0,0,0,2760,8,753686,0,156,0,28,64240,63190,6,20
11075,61106,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,4364.714285714285,8974.234541418873,30113.0,6.0,61106.0,6110.6,10928.963356350156,30436.0,6.0,51415.0,17138.333333333332,13817.612468633404,30494.0,2901.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,54073,0,156,0,28,64240,63190,6,20
11077,6577,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,469.7857142857142,1039.2475960684565,3986.0,7.0,6577.0,657.7,1429.044517617745,4593.0,7.0,6004.0,2001.3333333333333,1739.0806000106302,3986.0,744.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,490666,0,156,0,28,64240,63190,6,20
11079,50666,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,3619.0,8987.082755907973,30991.0,6.0,50666.0,5066.599999999999,14965.360434461089,47617.0,6.0,50025.0,16675.0,14393.617891273896,30991.0,2205.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,55580,0,156,0,28,64240,63190,6,20
11081,40594,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,2899.5714285714294,5627.10751922931,18126.0,6.0,40594.0,4059.4,6764.82568059879,18352.0,6.0,22244.0,7414.666666666666,5147.550129268615,10865.0,1498.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,126634,0,156,0,28,64240,63190,6,20
11083,5014,11,4,2340,420,848.0,0.0,212.72727272727272,324.1657264144656,388.0,0.0,105.0,189.26876833399288,358.1428571428571,606.662224755304,2210.0,7.0,5014.0,501.4,910.2234402118588,2797.0,7.0,4447.0,1482.3333333333333,748.828640834025,2210.0,714.0,0,0,0,0,236,88,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,212.72727272727272,105.0,0,0,0,2760,8,681649,0,156,0,28,64240,63190,6,20
11085,4149,10,5,2340,420,848.0,0.0,234.0,333.5092868938501,388.0,0.0,83.99999999999999,170.5051318875769,296.3571428571429,478.1852887005939,1768.0,6.0,1879.0,208.77777777777777,358.6759602265594,1060.0,6.0,3792.0,948.0,693.3075315711876,1768.0,137.0,0,0,0,0,216,108,0.0,848.0,172.5,285.66693893413714,81605.60000000002,1,3,0,8,13,0,0,0,0.0,184.0,234.0,84.0,0,0,0,2760,8,834845,0,156,0,28,64240,63190,6,20
11087,14929,11,4,2300,420,848.0,0.0,209.0909090909091,324.39896872384,388.0,0.0,105.0,189.26876833399288,1066.357142857143,3233.4171161872614,12265.0,6.0,14929.0,1492.9,4018.886093600232,12879.0,6.0,14347.0,4782.333333333334,6487.119956755335,12265.0,741.0,0,0,0,0,236,88,0.0,848.0,170.0,285.4731744548572,81494.93333333332,1,3,0,8,13,0,0,0,0.0,181.33333333333331,209.0909090909091,105.0,0,0,0,2720,8,194494,0,153,0,28,64240,63210,6,20
11089,63410,11,4,2300,420,848.0,0.0,209.0909090909091,324.39896872384,388.0,0.0,105.0,189.26876833399288,4529.285714285715,7958.151654639521,21316.0,7.0,63410.0,6341.0,10645.63123748162,28168.0,7.0,48981.0,16327.0,8062.011721648636,21316.0,7026.0,0,0,0,0,236,88,0.0,848.0,170.0,285.4731744548572,81494.93333333332,1,3,0,8,13,0,0,0,0.0,181.33333333333331,209.0909090909091,105.0,0,0,0,2720,8,55956,0,153,0,28,64240,63210,6,20
11115,70630951,13,2,162,403,81.0,0.0,12.461538461538462,30.418238456051835,403.0,0.0,201.5,284.9640328181787,5045067.928571428,15878762.258372543,59896812.0,6.0,70630951.0,5885912.583333332,17105169.27982672,59896812.0,6.0,424269.0,424269.0,0.0,424269.0,424269.0,0,0,0,0,308,48,0.0,403.0,35.3125,101.8428323447458,10371.962499999998,1,7,0,3,9,0,0,0,0.0,37.66666666666666,12.461538461538462,201.5,0,0,0,0,0,0,0,10,0,26,64240,65454,2,20
11197,2680,10,5,2340,310,848.0,0.0,234.0,333.5092868938501,278.0,0.0,62.0,121.54011683390796,191.42857142857144,223.97551867789696,728.0,7.0,1858.0,206.44444444444449,385.4481518671192,1192.0,7.0,2489.0,622.25,459.6378103101035,1082.0,51.0,0,0,0,0,216,108,0.0,848.0,165.625,281.42704797750577,79201.18333333333,1,3,0,8,13,0,0,0,0.0,176.66666666666666,234.0,62.0,0,0,0,2650,8,1266730,0,156,0,20,64240,63190,6,20
11239,2947,10,5,2340,268,848.0,0.0,234.0,333.5092868938501,236.0,0.0,53.6,102.9018950262822,210.5,247.34272392153176,777.0,6.0,1732.0,192.44444444444449,326.18020751998085,990.0,6.0,2719.0,679.75,381.5419374066237,1095.0,175.0,0,0,0,0,216,108,0.0,848.0,163.0,280.5033570803268,78682.13333333333,1,3,0,8,13,0,0,0,0.0,173.86666666666667,234.0,53.6,0,0,0,2608,8,1205732,0,156,0,17,64240,63190,6,20
11241,2152,10,5,2304,268,848.0,0.0,230.4,333.9791077963477,236.0,0.0,53.6,102.9018950262822,153.7142857142857,153.5990928315702,584.0,7.0,1562.0,173.55555555555554,267.4355581776249,820.0,7.0,1947.0,486.75,365.3494902145068,939.0,118.0,0,0,0,0,216,108,0.0,848.0,160.75,280.23692357241816,78532.73333333334,1,3,0,8,13,0,0,0,0.0,171.46666666666667,230.4,53.6,0,0,0,2572,8,1735492,0,153,0,17,64240,63208,6,20
11248,5956,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,425.4285714285714,653.6401873397125,2553.0,7.0,5956.0,595.5999999999999,749.2216998696418,2553.0,7.0,5533.0,1844.3333333333333,2001.4800357069096,3984.0,18.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,507788,0,156,0,17,64240,63190,6,20
11255,5999,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,428.5,667.3858012366668,2561.0,7.0,5999.0,599.9,755.5715202561714,2561.0,7.0,5621.0,1873.6666666666663,2007.933348827429,4004.0,16.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,491333,0,156,0,17,64240,63190,6,20
11257,5959,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,425.6428571428572,654.0996874321995,2522.0,9.0,5959.0,595.9,746.4193712503567,2522.0,9.0,5630.0,1876.6666666666663,1898.2345306450763,3851.0,65.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,491056,0,156,0,17,64240,63190,6,20
11259,5938,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,424.1428571428572,665.3580709943802,2560.0,8.0,5938.0,593.8,753.8144186587159,2560.0,8.0,5613.0,1871.0,1961.9635572558427,3950.0,52.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,491889,0,156,0,17,64240,63190,6,20
11261,6000,11,4,2340,268,848.0,0.0,212.72727272727272,324.1657264144656,236.0,0.0,67.0,113.67204288361027,428.57142857142856,673.2634316162198,2592.0,7.0,6000.0,600.0,763.6958382322987,2592.0,7.0,5606.0,1868.6666666666663,2005.3908181033771,4000.0,19.0,0,0,0,0,236,88,0.0,848.0,163.00000000000003,280.50335708032685,78682.13333333335,1,3,0,8,13,0,0,0,0.0,173.86666666666667,212.72727272727272,67.0,0,0,0,2608,8,493472,0,156,0,17,64240,63190,6,20
